CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Blaine,<a href='https://drive.google.com/file/d/1RZbOysIgP6FN406OovctBR9zWSuj1wX4/view?usp=drivesdk' target='_blank'>Blaine </a>,County,Blaine,ID,2011,1,0,6876.07,"US Census Bureau, 2018 Cartographic Boundary Files"
Boulder,<a href='https://drive.google.com/file/d/1ZV16K1V0Vgl-udKElMjxiG2nxf-Um2zO/view?usp=drivesdk' target='_blank'>Boulder </a>,County,Boulder,CO,2011,0,1,1917.74,Colorado Forest Atlas
Boundary,<a href='https://drive.google.com/file/d/1S8dE4wt9l-ULQFJqVisXexeaYjjLcMJ5/view?usp=drivesdk' target='_blank'>Boundary</a>,County,Boundary,ID,2011,1,0,3310.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Cassia,<a href='https://drive.google.com/file/d/1PxDdu-55zkFrLqmQv1xkog_V2Uw6MKhh/view?usp=drivesdk' target='_blank'>Cassia </a>,County,Cassia,ID,2011,1,0,6683.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Cedar Mesa Ranches,<a href='https://drive.google.com/file/d/1A01MzIV4-ujk8V9T3PXpdkVlIlGVjnkd/view?usp=drivesdk' target='_blank'>Cedar Mesa Ranches </a>,Community,Montezuma,CO,2011,0,1,8.14,Colorado Forest Atlas
Cheyenne,<a href='https://drive.google.com/file/d/1JqRC3YPyUd3ORpPou6DUPNfVJr86FXmI/view?usp=drivesdk' target='_blank'>Cheyenne </a>,County,Cheyenne,CO,2011,0,0,4613.69,Colorado Forest Atlas
Colorado Outdoor Education Center,<a href='https://drive.google.com/file/d/1r-T9S3TJuH7SWgMDRbf_sdYjEQJbd0xQ/view?usp=drivesdk' target='_blank'>Colorado Outdoor Education Center </a>,Community,Teller,CO,2011,1,0,366.39,Colorado Forest Atlas
Colorado Springs,<a href='https://drive.google.com/file/d/1RegbHwecnpD5jTQLtE-UIxciV4TGkvQj/view?usp=drivesdk' target='_blank'>Colorado Springs </a>,Community,El Paso,CO,2011,0,0,134.74,Colorado Forest Atlas
Columbia,<a href='https://drive.google.com/file/d/1YZpFzkcr2e_z31v1waoP8HTtpM1pp3th/view?usp=drivesdk' target='_blank'>Columbia </a>,County,Columbia,OR,2011,0,0,1783.11,Oregon Spatial Data Library
Coos,<a href='https://drive.google.com/file/d/1WdOaTAxCXU7H4Lqlhqdv9cFC1GP9lTSY/view?usp=drivesdk' target='_blank'>Coos </a>,County,Coos,OR,2011,0,1,4171.68,CWPP
Crowley,<a href='https://drive.google.com/file/d/1_p_fHyf53HHYWStMZihahTBckCFtus1x/view?usp=drivesdk' target='_blank'>Crowley </a>,County,Crowley,CO,2011,0,0,2073.39,Colorado Forest Atlas
Delta,<a href='https://drive.google.com/file/d/15_YZxOHAxUu6Pdw-KMQBGNpJbcTg6qMk/view?usp=drivesdk' target='_blank'>Delta </a>,County,Delta,CO,2011,0,1,2975.07,Colorado Forest Atlas
Diamond Springs,<a href='https://drive.google.com/file/d/1zgtlFMNP69UfOWMn_Qj4oujCMSNSFWoK/view?usp=drivesdk' target='_blank'>Diamond Springs </a>,Community,El Dorado,CA,2011,0,1,548.21,CWPP
Donald Wescott,<a href='https://drive.google.com/file/d/1_RbBeh-D61s6NbshPf4ZFXsVVWQtwIYs/view?usp=drivesdk' target='_blank'>Donald Wescott </a>,Fire Protection District,El Paso,CO,2011,0,1,44.98,Colorado Forest Atlas
Douglas,<a href='https://drive.google.com/file/d/1H_HCiQERXJxa_kkSXQxVlsaZre_kvSRe/view?usp=drivesdk' target='_blank'>Douglas </a>,County,Douglas,CO,2011,0,0,13130.86,Colorado Forest Atlas
Durango West Metropolitan District 2,<a href='https://drive.google.com/file/d/1uDE-QdI5scviRnAnD80OAe0RzhGYIykH/view?usp=drivesdk' target='_blank'>Durango West Metropolitan District 2 </a>,Community,La Plata,CO,2011,0,1,1.13,Colorado Forest Atlas
Eagle,<a href='https://drive.google.com/file/d/1fDJf4IRAAf9w2Fs3kiwCtDj7UElWncnQ/view?usp=drivesdk' target='_blank'>Eagle </a>,County,Eagle,CO,2011,0,0,4381.58,Colorado Forest Atlas
Eastland - Trueblood,<a href='https://drive.google.com/file/d/18i7lJsqQ85OmhzniQYJTjrswYrOM5bQs/view?usp=drivesdk' target='_blank'>Eastland - Trueblood</a>,Community,San Juan,UT,2011,0,0,382.65,CWPP
El Dorado,<a href='https://drive.google.com/file/d/1-fxXNC3oqEyp1cXreghctXOVESQFn-sD/view?usp=drivesdk' target='_blank'>El Dorado </a>,County,El Dorado,CA,2011,1,1,4626.62,"US Census Bureau, 2018 Cartographic Boundary Files"
Elk Valley Estates,<a href='https://drive.google.com/file/d/18R6QMnvC-rsr7Gvvky-Hcx6TxML-l5kC/view?usp=drivesdk' target='_blank'>Elk Valley Estates </a>,Community,Teller,CO,2011,0,0,4.71,Colorado Forest Atlas
Estes Park Uplands,<a href='https://drive.google.com/file/d/1X5HDmWoXf6p61ymEjkgbJLrM7rEp1Jtd/view?usp=drivesdk' target='_blank'>Estes Park Uplands </a>,Community,Larimer,CO,2011,0,0,0.65,CWPP
Falls Creek Ranch,<a href='https://drive.google.com/file/d/1O912gnJLJlAQFiynYSguimnGSburfmhO/view?usp=drivesdk' target='_blank'>Falls Creek Ranch </a>,Community,La Plata,CO,2011,0,0,76.45,Colorado Forest Atlas
Flathead,<a href='https://drive.google.com/file/d/1hbUcWzK06bllvBDxHbMZgSWAC7V6SrFZ/view?usp=drivesdk' target='_blank'>Flathead </a>,County,Flathead,MT,2011,0,1,13613.06,"US Census Bureau, 2018 Cartographic Boundary Files"
Forest Lakes,<a href='https://drive.google.com/file/d/1qd7up2p-Jn2Gx4N2ryqS5fqlTkUo87Fr/view?usp=drivesdk' target='_blank'>Forest Lakes </a>,Community,La Plata,CO,2011,0,1,7.54,Colorado Forest Atlas
Fresno-Kings,<a href='https://drive.google.com/file/d/1LU_mHniRfsvyr-stoyNDbaqHXnqBLz_b/view?usp=drivesdk' target='_blank'>Fresno-Kings </a>,Fire Protection District,Fresno,CA,2011,1,0,6569.9,CALFIRE FRAP
Glenn,<a href='https://drive.google.com/file/d/1G-ojtF4LW1QARa7L7A4O_pF4_rtqIsFE/view?usp=drivesdk' target='_blank'>Glenn </a>,County,Glenn,CA,2011,0,0,3436.85,"US Census Bureau, 2018 Cartographic Boundary Files"
Golden Gate,<a href='https://drive.google.com/file/d/1ilLFfdJSS7IdaIe3JW9J2MVkxBVY70qn/view?usp=drivesdk' target='_blank'>Golden Gate </a>,Fire Protection District,Jefferson,CO,2011,0,0,126.79,Colorado Forest Atlas
Goleta,<a href='https://drive.google.com/file/d/13jHzazsLn9zFfqi73rLBRNftF2AxyzYX/view?usp=drivesdk' target='_blank'>Goleta </a>,Community,Santa Barbara,CA,2011,0,1,20.89,CWPP
Gooding,<a href='https://drive.google.com/file/d/1LEARXzetA0wjoqDHNK7gATw91CHJ5v4c/view?usp=drivesdk' target='_blank'>Gooding </a>,County,Gooding,ID,2011,1,0,1901.24,"US Census Bureau, 2018 Cartographic Boundary Files"
Greater Monticello,<a href='https://drive.google.com/file/d/1hXm82AJ--sr44meT8WOTe5AfMJbcBIpy/view?usp=drivesdk' target='_blank'>Greater Monticello</a>,Community,San Juan,UT,2011,0,0,460.83,CWPP
Gunnison,<a href='https://drive.google.com/file/d/1PEdT8hzoesRYmnwUmN9znKNTuJmmE_ha/view?usp=drivesdk' target='_blank'>Gunnison </a>,County,Gunnison,CO,2011,0,1,8443.07,Colorado Forest Atlas
Highway 50,<a href='https://drive.google.com/file/d/1YO82BwuJ6WhynFZccjyee173sbjZ3Xyi/view?usp=drivesdk' target='_blank'>Highway 50 </a>,Community,El Dorado,CA,2011,0,1,532.85,CWPP
Hot Springs,<a href='https://drive.google.com/file/d/12gHyQ7S_9FvtnCxGEgkCgoTHBTmY7Dni/view?usp=drivesdk' target='_blank'>Hot Springs </a>,County,Hot Springs,WY,2011,1,1,5195.84,"US Census Bureau, 2018 Cartographic Boundary Files"
Hot Sulphur Springs Parshall,<a href='https://drive.google.com/file/d/159T-XApXrmidhtHR4WiFhAnT0vM92Phr/view?usp=drivesdk' target='_blank'>Hot Sulphur Springs Parshall </a>,Fire Protection District,Grand,CO,2011,0,1,576.28,CWPP
Illinois Valley,<a href='https://drive.google.com/file/d/1-GomwQPGSYndHZozy7zmqoxpZ9SFfcvP/view?usp=drivesdk' target='_blank'>Illinois Valley </a>,Community,Josephine,OR,2011,0,1,869.68,CWPP
Indian Creek,<a href='https://drive.google.com/file/d/1nzVfri873MLtq9qu-vVkFuAc8CdLA2Vq/view?usp=drivesdk' target='_blank'>Indian Creek </a>,Community,Teller,CO,2011,0,0,22.68,CWPP
Indian Mountain,<a href='https://drive.google.com/file/d/1JO3kcLdcy8AEiSdVpBhTtMMw9MvH74kU/view?usp=drivesdk' target='_blank'>Indian Mountain </a>,Community,Park,CO,2011,0,0,28.27,Colorado Forest Atlas
Jefferson,<a href='https://drive.google.com/file/d/1YpDs78CT6KmPC4SVUjarzZ9qQA1dhkjj/view?usp=drivesdk' target='_blank'>Jefferson </a>,County,Jefferson,OR,2011,0,1,2863.95,Oregon Spatial Data Library
Jerome,<a href='https://drive.google.com/file/d/1EGjt9bXJL8n6_3YF6abX_pYKjaDu33X8/view?usp=drivesdk' target='_blank'>Jerome</a>,County,Jerome,ID,2011,1,0,1560.31,"US Census Bureau, 2018 Cartographic Boundary Files"
Kern River Valley,<a href='https://drive.google.com/file/d/1gUIQ0_1YQANM6rrtaJD50Ii5-wshCqep/view?usp=drivesdk' target='_blank'>Kern River Valley </a>,Community,Kern,CA,2011,0,1,1930.45,CWPP
Kootenai,<a href='https://drive.google.com/file/d/1D2YrvbUqo6U4oc4P7Olbu90_M3OkP_Sf/view?usp=drivesdk' target='_blank'>Kootenai</a>,County,Kootenai,ID,2011,1,0,3391.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Kremmling,<a href='https://drive.google.com/file/d/14uVi-siwhTYxXWug3mbHGqFshsjXUxyB/view?usp=drivesdk' target='_blank'>Kremmling </a>,Fire Protection District,Grand,CO,2011,0,1,354.64,Colorado Forest Atlas
La Veta,<a href='https://drive.google.com/file/d/1OgjfMVz8WBJjS4gpuDkyg4lAEZ1KImY8/view?usp=drivesdk' target='_blank'>La Veta </a>,Fire Protection District,Huerfano,CO,2011,0,1,588.29,Colorado Forest Atlas
Lake,<a href='https://drive.google.com/file/d/1Z-sMTyakuKii91LHJ1yNq6ES3N2nJ5fK/view?usp=drivesdk' target='_blank'>Lake </a>,County,Lake,OR,2011,0,1,3443.2,CWPP
Lincoln,<a href='https://drive.google.com/file/d/1XlnNgQFBUY25QtDgVaJtlM7Yyq1VXH9F/view?usp=drivesdk' target='_blank'>Lincoln</a>,County,Lincoln,ID,2011,1,0,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Logan,<a href='https://drive.google.com/file/d/1KAJo77HTAF--B8GiNO6bftdfCC-M78Yl/view?usp=drivesdk' target='_blank'>Logan </a>,County,Logan,CO,2011,0,0,4778.19,Colorado Forest Atlas
Lone Ranger Road Users,<a href='https://drive.google.com/file/d/19ZiD1mpJt-gCxpuUc035KUZQVVzRw7Vn/view?usp=drivesdk' target='_blank'>Lone Ranger Road Users </a>,Community,Teller,CO,2011,0,0,0.73,Colorado Forest Atlas
Lost Dutchman Resort,<a href='https://drive.google.com/file/d/1FGOMm_QLDSVPdj1qTrkXhlrfEb7DmTo1/view?usp=drivesdk' target='_blank'>Lost Dutchman Resort </a>,Community,Teller,CO,2011,0,0,1.55,Colorado Forest Atlas
Lyons,<a href='https://drive.google.com/file/d/10F2aLvq1OzbhYei0pIfYIfBCEQW003N2/view?usp=drivesdk' target='_blank'>Lyons </a>,Fire Protection District,Boulder,CO,2011,0,0,172.12,Colorado Forest Atlas
Maricopa,<a href='https://drive.google.com/file/d/1X79AvQt5Og8M-zROg7evCfX1QullyWlC/view?usp=drivesdk' target='_blank'>Maricopa</a>,County,Maricopa,AZ,2011,1,0,23891.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Minidoka,<a href='https://drive.google.com/file/d/1mk_RGVQfKlSIwdFiErcMHFcsuo32NQ3A/view?usp=drivesdk' target='_blank'>Minidoka </a>,County,Minidoka,ID,2011,1,0,1974.59,"US Census Bureau, 2018 Cartographic Boundary Files"
Mission Canyon,<a href='https://drive.google.com/file/d/1qo1YEDFdWV7Er-DpNu7BIwZBdpClFQG5/view?usp=drivesdk' target='_blank'>Mission Canyon </a>,Community,Santa Barbara,CA,2011,0,0,7.64,CWPP
Misty Pines,<a href='https://drive.google.com/file/d/1YJZe0zTfMeEZ13-DyAtUG__f1liQz0uU/view?usp=drivesdk' target='_blank'>Misty Pines </a>,Community,Douglas,CO,2011,0,0,0.83,Colorado Forest Atlas
Montezuma,<a href='https://drive.google.com/file/d/1SOrC8EnDKPYmG7ao7DrwPgorV0uKTAa_/view?usp=drivesdk' target='_blank'>Montezuma </a>,County,Montezuma,CO,2011,0,0,5282.96,Colorado Forest Atlas
Montrose,<a href='https://drive.google.com/file/d/1c1-8CNkJgRctrYOBlXabEq-RWO5ndFWi/view?usp=drivesdk' target='_blank'>Montrose </a>,County,Montrose,CO,2011,0,1,5808,Colorado Forest Atlas
Multnomah,<a href='https://drive.google.com/file/d/1tGF7XVKB8YdiT_Jkf1Lq3NFEe9A8FmBi/view?usp=drivesdk' target='_blank'>Multnomah </a>,County,Multnomah,OR,2011,0,0,1205.49,CWPP
Nederland,<a href='https://drive.google.com/file/d/12dh9pbMF82WmsTV55aOTpD3Bn4KCHMBQ/view?usp=drivesdk' target='_blank'>Nederland </a>,Fire Protection District,Boulder,CO,2011,0,1,148.92,Colorado Forest Atlas
North Fork,<a href='https://drive.google.com/file/d/1m3yHVa7Hb4VUiL-_0z9GzBFHhVww68hV/view?usp=drivesdk' target='_blank'>North Fork </a>,Fire Protection District,Jefferson,CO,2011,0,0,391.15,Colorado Forest Atlas
Northstar,<a href='https://drive.google.com/file/d/1D5TGzubX9j0Qs_lgS8XC8Nb1X1XY-Q8c/view?usp=drivesdk' target='_blank'>Northstar </a>,Community,Placer,CA,2011,0,0,13.77,CWPP
Ouray,<a href='https://drive.google.com/file/d/1X6AwP0t4EHl6J4l8U-1Cc7mLIxjqJGn0/view?usp=drivesdk' target='_blank'>Ouray </a>,County,Ouray,CO,2011,0,1,1404.58,Colorado Forest Atlas
Pend Oreille,<a href='https://drive.google.com/file/d/1c2OHH_aIKHcSA6etWV3Sq6qddwOFoqh9/view?usp=drivesdk' target='_blank'>Pend Oreille </a>,County,Pend Oreille,WA,2011,0,0,3692.66,"US Census Bureau, 2018 Cartographic Boundary Files"
Pioneer Village,<a href='https://drive.google.com/file/d/14BZp8H91TivcYdYKRwdwZE2jjLOWWGvY/view?usp=drivesdk' target='_blank'>Pioneer Village </a>,Community,Benton,OR,2011,0,0,0.64,CWPP
Pioneer/Volcano,<a href='https://drive.google.com/file/d/1xtY4BsgzF-LcCXn2i_6Zg1FL1JoHPGHI/view?usp=drivesdk' target='_blank'>Pioneer/Volcano </a>,Community,Amador,CA,2011,0,0,93.14,CWPP
Poudre Fire Authority,<a href='https://drive.google.com/file/d/1hNtJhy04p2AgebnWlhr-P4SYdWs8HFlP/view?usp=drivesdk' target='_blank'>Poudre Fire Authority </a>,Community,Larimer,CO,2011,0,0,610.5,Colorado Forest Atlas
Prowers,<a href='https://drive.google.com/file/d/1t-ahNTsuChR9hIxhF-rMZEomc8hpmur5/view?usp=drivesdk' target='_blank'>Prowers </a>,County,Prowers,CO,2011,0,0,4258.58,Colorado Forest Atlas
Rancho Santa Fe,<a href='https://drive.google.com/file/d/1hKO1OwqLIuq2kD66RxtI1abmK3tNQLYE/view?usp=drivesdk' target='_blank'>Rancho Santa Fe </a>,Community,San Diego,CA,2011,0,1,33.19,CWPP
Ridgewood,<a href='https://drive.google.com/file/d/1FTiCIPEu6i-ekon0wWpze_8W_d4xWuW3/view?usp=drivesdk' target='_blank'>Ridgewood </a>,Community,Teller,CO,2011,0,0,3.34,Colorado Forest Atlas
San Manuel,<a href='https://drive.google.com/file/d/10zj6EsI414mH4BTxsR_vgrv8VL4cYoYZ/view?usp=drivesdk' target='_blank'>San Manuel </a>,Community,San Bernardino,CA,2011,0,1,10.32,CWPP
Shoshone,<a href='https://drive.google.com/file/d/1rx3Wl2rZvL757jM5smXk624rBCnFb0BE/view?usp=drivesdk' target='_blank'>Shoshone </a>,County,Shoshone,ID,2011,1,1,6845.73,"US Census Bureau, 2018 Cartographic Boundary Files"
Teller,<a href='https://drive.google.com/file/d/1LNdsEYJZE6G9PL8wjDmY_h3h1R5XLtJG/view?usp=drivesdk' target='_blank'>Teller </a>,County,Teller,CO,2011,0,0,1447.79,Colorado Forest Atlas
Twin Falls,<a href='https://drive.google.com/file/d/1YwU1J6G8so8PnW9L2VHKNBokRPSJrpsZ/view?usp=drivesdk' target='_blank'>Twin Falls </a>,County,Twin Falls,ID,2011,1,0,4993.9,"US Census Bureau, 2018 Cartographic Boundary Files"
Upper Cherokee Park,<a href='https://drive.google.com/file/d/1C4cFgkUB5MDgReztHzhD3MEjkMvNEwhC/view?usp=drivesdk' target='_blank'>Upper Cherokee Park </a>,Community,Larimer,CO,2011,0,0,131.62,Colorado Forest Atlas
Upper Crystal River Valley,<a href='https://drive.google.com/file/d/1rQXIxyE3e1bw5xR9wpgQ08dMENAeojU7/view?usp=drivesdk' target='_blank'>Upper Crystal River Valley </a>,Community,Gunnison,CO,2011,0,0,7.71,Colorado Forest Atlas
Ute Lakes Fishing and Recreation Club,<a href='https://drive.google.com/file/d/1NsuBDSnY1093scL1hRk-USv5HH0pu9_V/view?usp=drivesdk' target='_blank'>Ute Lakes Fishing and Recreation Club </a>,Community,Teller,CO,2011,0,0,1.09,Colorado Forest Atlas
Willow Creek,<a href='https://drive.google.com/file/d/1FUFqbW3dWvSnKUFJFzKiYTAwomux5-CL/view?usp=drivesdk' target='_blank'>Willow Creek</a>,Community,Humboldt,CA,2011,0,0,508.73,CWPP
Yavapai,<a href='https://drive.google.com/file/d/1REtSXel_Qu0oV_fw9Z3Nd8Qzw0AFDm4x/view?usp=drivesdk' target='_blank'>Yavapai </a>,Community,Yavapai,AZ,2011,1,0,3918.58,CWPP
Yuma,<a href='https://drive.google.com/file/d/1fbzg1VhuO0Ji7_TnYPu8CLZNUReidQ9D/view?usp=drivesdk' target='_blank'>Yuma </a>,County,Yuma,CO,2011,0,0,6135.65,Colorado Forest Atlas
Ada,<a href='https://drive.google.com/file/d/14Hk1i6YlWZvWGXeDjFfsAiRIHHl0iiiN/view?usp=drivesdk' target='_blank'>Ada </a>,County,Ada,ID,2010,1,0,2746.95,"US Census Bureau, 2018 Cartographic Boundary Files"
Alpine,<a href='https://drive.google.com/file/d/18kS0Mx5jl6RE8qtXK3ZBaO4SS26eoiOX/view?usp=drivesdk' target='_blank'>Alpine </a>,Community,San Diego,CA,2010,1,0,267,CWPP
Bainbridge Island,<a href='https://drive.google.com/file/d/1EIyNo8Ma68vzTz5Q9Qvnt8iKG2k6pRIQ/view?usp=drivesdk' target='_blank'>Bainbridge Island </a>,Community,Kitsap,WA,2010,0,0,70.68,CWPP
Big Horn,<a href='https://drive.google.com/file/d/1Z06w8Nmzt-_p7M0Ka4CnEYQneK4MRDxR/view?usp=drivesdk' target='_blank'>Big Horn </a>,County,Big Horn,WY,2010,1,1,12990.96,"US Census Bureau, 2018 Cartographic Boundary Files"
Blue Ridge,<a href='https://drive.google.com/file/d/14fI8KsUTVgppQpcmCSZ1cJKrF6Q3ykE2/view?usp=drivesdk' target='_blank'>Blue Ridge</a>,Community,Coconino,AZ,2010,0,1,2262.02,CWPP
Bonner,<a href='https://drive.google.com/file/d/1pDKli1PfkUGFDhc5dsGv_zu3jF9lHIhB/view?usp=drivesdk' target='_blank'>Bonner</a>,County,Bonner,ID,2010,1,1,4967.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Castle Pines North,<a href='https://drive.google.com/file/d/1-ry85Ufu5_QESI5x-66HWimekqvUxeeX/view?usp=drivesdk' target='_blank'>Castle Pines North </a>,Community,Douglas,CO,2010,0,0,95.33,Colorado Forest Atlas
Chaves,<a href='https://drive.google.com/file/d/1Vu1QnHfOkGR7JYOzOTlI4eeZAGh9HFfA/view?usp=drivesdk' target='_blank'>Chaves </a>,County,Chaves,NM,2010,0,1,15734.46,"US Census Bureau, 2018 Cartographic Boundary Files"
Cottonwood Creek,<a href='https://drive.google.com/file/d/1vVNlvB0zV9T2NZImvIwoUyIGFJx9Wf62/view?usp=drivesdk' target='_blank'>Cottonwood Creek </a>,Community,Shasta,CA,2010,0,0,2443.11,CWPP
El Paso,<a href='https://drive.google.com/file/d/16gzuojAEc0FXtCKEQFqGy-OrkUCJrqh3/view?usp=drivesdk' target='_blank'>El Paso </a>,County,El Paso,CO,2010,0,0,5515.59,Colorado Forest Atlas
Forbes Park Landowners Association,<a href='https://drive.google.com/file/d/1qkqhv7Jz6xvQ3DfWPVKzxBpcPbHTP7bk/view?usp=drivesdk' target='_blank'>Forbes Park Landowners Association </a>,Community,Costilla,CO,2010,0,0,52.86,Colorado Forest Atlas
Greater Alpine,<a href='https://drive.google.com/file/d/1Zs1rh8qPr-QHDU_i2mBvkP2_9gDv-AxH/view?usp=drivesdk' target='_blank'>Greater Alpine </a>,Community,San Diego,CA,2010,0,0,278.95,CWPP
Highway 168,<a href='https://drive.google.com/file/d/1RBocpBSzH8dWinOnYZS472fnsznqGnOa/view?usp=drivesdk' target='_blank'>Highway 168 </a>,Community,"Madera, Fresno",CA,2010,0,0,162.47,CWPP
Hinsdale,<a href='https://drive.google.com/file/d/1E6m3Id-P7bu2WKQJoLqRewhnBPpRA_Oq/view?usp=drivesdk' target='_blank'>Hinsdale </a>,County,Hinsdale,CO,2010,0,1,2908.93,Colorado Forest Atlas
Hot Springs,<a href='https://drive.google.com/file/d/1E6DoTnsFOi1KBAiUfXJHW35HA865YKNJ/view?usp=drivesdk' target='_blank'>Hot Springs  </a>,County,Hot Springs,WY,2010,0,1,5195.84,"US Census Bureau, 2018 Cartographic Boundary Files"
Johnson,<a href='https://drive.google.com/file/d/1y_UNBQW6IR-AYXYnzfvMx7SuEyg27uLp/view?usp=drivesdk' target='_blank'>Johnson </a>,County,Johnson,WY,2010,1,0,10811.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Kootenai,<a href='https://drive.google.com/file/d/1e842CPbZ_vIjxBcYq9-nP2lLfDB5fnZ6/view?usp=drivesdk' target='_blank'>Kootenai</a>,County,Kootenai,ID,2010,1,0,3391.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Lake Hodges,<a href='https://drive.google.com/file/d/1K8uei_rhtDRfacnWDqJfhL-8a74oDftb/view?usp=drivesdk' target='_blank'>Lake Hodges </a>,Community,San Diego,CA,2010,1,0,39.05,CWPP
Luna,<a href='https://drive.google.com/file/d/1jThXrXDqrXcSB6BdUBullJ3TGGqERVyg/view?usp=drivesdk' target='_blank'>Luna </a>,County,Luna,NM,2010,0,0,7680.38,"US Census Bureau, 2018 Cartographic Boundary Files"
Maricopa,<a href='https://drive.google.com/file/d/1RmiGv2V383UFc29mGp3HnqeIgxjxm8sb/view?usp=drivesdk' target='_blank'>Maricopa</a>,County,Maricopa,AZ,2010,0,1,23891.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Mariposa,<a href='https://drive.google.com/file/d/1FX3xTHa2ESNoNXyy3hz8WcQw19WHga_I/view?usp=drivesdk' target='_blank'>Mariposa </a>,County,Mariposa,CA,2010,0,0,3788.69,"US Census Bureau, 2018 Cartographic Boundary Files"
Meadow Creek Area,<a href='https://drive.google.com/file/d/1jIoZgKrADyFPIoBPqntgogGUuEq_b9o5/view?usp=drivesdk' target='_blank'>Meadow Creek Area </a>,Community,Jackson,CO,2010,0,0,46.49,Colorado Forest Atlas
Monterey,<a href='https://drive.google.com/file/d/1J1vmiUEtOGs-KYDQr0bzm86fodUyS3ae/view?usp=drivesdk' target='_blank'>Monterey </a>,County,Monterey,CA,2010,0,1,9767.43,"US Census Bureau, 2018 Cartographic Boundary Files"
Mt. Veeder,<a href='https://drive.google.com/file/d/1D1qcZbFWo0R6ETz947xGL5Ht1-sMd6mL/view?usp=drivesdk' target='_blank'>Mt. Veeder </a>,Community,"Napa, Sonoma",CA,2010,0,0,77.43,CWPP
North West,<a href='https://drive.google.com/file/d/1BcyqyIDW8WR6s7G-2PBD5O_5eXtY7_Ad/view?usp=drivesdk' target='_blank'>North West </a>,Fire Protection District,Park,CO,2010,0,0,654.34,Colorado Forest Atlas
Pinewood Springs,<a href='https://drive.google.com/file/d/1NemyAJZDDVnC01nY5963MKHmpU3gDCPI/view?usp=drivesdk' target='_blank'>Pinewood Springs </a>,Community,Larimer,CO,2010,0,0,4.36,Colorado Forest Atlas
Rocky Mountain,<a href='https://drive.google.com/file/d/1MxRHdrsTUiAyBfVRTEmoehzRDtY6Evo8/view?usp=drivesdk' target='_blank'>Rocky Mountain </a>,Fire Protection District,Boulder,CO,2010,0,1,144.02,Colorado Forest Atlas
Routt,<a href='https://drive.google.com/file/d/15S0sOp8sjitpRhMjE9NL2ow1ywaUlRcs/view?usp=drivesdk' target='_blank'>Routt </a>,County,Routt,CO,2010,0,0,6135.92,Colorado Forest Atlas
San Benito,<a href='https://drive.google.com/file/d/1cWLA6G1h6iYWgZMUylbV9CXrPKlCNp-Y/view?usp=drivesdk' target='_blank'>San Benito </a>,County,San Benito,CA,2010,0,1,3601.31,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Cruz - San Mateo,<a href='https://drive.google.com/file/d/1jpCGA7oidw8w6yftBIWv5Z2jUvuv3k8t/view?usp=drivesdk' target='_blank'>Santa Cruz - San Mateo </a>,County,"Santa Cruz, San Mateo",CA,2010,0,0,3083.03,CWPP
Santa Monica Mountains,<a href='https://drive.google.com/file/d/1cGZRJN_ceOsFTAIv1TosBxe_ERCfYfHW/view?usp=drivesdk' target='_blank'>Santa Monica Mountains </a>,Community,"Los Angeles, Ventura",CA,2010,0,1,516.84,CWPP
